Player,Season,Round,AF
Brent Staker,2010,Round 13,94
Todd Banfield,2010,Round 13,96
Joel Patfull,2010,Round 13,49
James Hawksley,2010,Round 13,60
Daniel Merrett,2010,Round 13,52
Sam Sheldon,2010,Round 13,48
Amon Buchanan,2010,Round 13,48
Justin Sherman,2010,Round 13,61
Matthew Leuenberger,2010,Round 13,45
Aaron Cornelius,2010,Round 13,64
Brendan Fevola,2010,Round 13,41
Troy Selwood,2010,Round 13,25
Brett Deledio,2010,Round 13,95
Shane Tuck,2010,Round 13,100
Ben Cousins,2010,Round 13,95
Dustin Martin,2010,Round 13,84
Chris Newman,2010,Round 13,96
Angus Graham,2010,Round 13,106
Daniel Connors,2010,Round 13,95
Trent Cotchin,2010,Round 13,46
Daniel Jackson,2010,Round 13,80
Richard Tambling,2010,Round 13,42
Matthew White,2010,Round 13,92
Shane Edwards,2010,Round 13,66
David Astbury,2010,Round 13,49
Andrew Collins,2010,Round 13,79
Jack Riewoldt,2010,Round 13,89
Ben Nason,2010,Round 13,59
Jake King,2010,Round 13,47
Will Thursfield,2010,Round 13,25
Mitch Farmer,2010,Round 13,44
Tyrone Vickery,2010,Round 13,53
Luke McGuane,2010,Round 13,20
Benjamin Griffiths,2010,Round 13,18
Chris Judd,2010,Round 13,86
Andrew Walker,2010,Round 13,116
Andrew Carrazzo,2010,Round 13,90
Kade Simpson,2010,Round 13,102
Jordan Russell,2010,Round 13,83
Bryce Gibbs,2010,Round 13,106
Ryan Houlihan,2010,Round 13,71
Richard Hadley,2010,Round 13,76
Heath Scotland,2010,Round 13,58
Eddie Betts,2010,Round 13,119
Paul Bower,2010,Round 13,62
Dennis Armfield,2010,Round 13,71
Kane Lucas,2010,Round 13,62
Aaron Joseph,2010,Round 13,55
Christopher Yarran,2010,Round 13,89
Bret Thornton,2010,Round 13,65
Lachlan Henderson,2010,Round 13,75
Jeff Garlett,2010,Round 13,87
Jarrad Waite,2010,Round 13,99
Sam Jacobs,2010,Round 13,66
Michael Jamison,2010,Round 13,21
Matthew Kreuzer,2010,Round 13,5
Michael Barlow,2010,Round 13,121
Garrick Ibbotson,2010,Round 13,77
Paul Hasleby,2010,Round 13,86
Matthew Pavlich,2010,Round 13,68
Paul Duffield,2010,Round 13,82
Aaron Sandilands,2010,Round 13,128
David Mundy,2010,Round 13,90
Rhys Palmer,2010,Round 13,63
Stephen Hill,2010,Round 13,46
Dylan Roberton,2010,Round 13,70
Nathan Fyfe,2010,Round 13,72
Roger Hayden,2010,Round 13,64
Chris Tarrant,2010,Round 13,59
Kepler Bradley,2010,Round 13,66
Antoni Grover,2010,Round 13,66
Hayden Ballantyne,2010,Round 13,75
Adam McPhee,2010,Round 13,69
Anthony Morabito,2010,Round 13,42
Matthew De Boer,2010,Round 13,50
Jay Van Berlo,2010,Round 13,26
Ryan Crowley,2010,Round 13,37
Alex Silvagni,2010,Round 13,25
Brent Harvey,2010,Round 13,122
Brady Rawlings,2010,Round 13,93
Daniel Pratt,2010,Round 13,93
Cruize Garlett,2010,Round 13,84
Levi Greenwood,2010,Round 13,75
Andrew Swallow,2010,Round 13,98
Michael Firrito,2010,Round 13,69
Nathan Grima,2010,Round 13,71
Ryan Bastinac,2010,Round 13,59
Jack Ziebell,2010,Round 13,57
Lachlan Hansen,2010,Round 13,109
Ben Warren,2010,Round 13,90
Scott Thompson,2010,Round 13,80
Daniel Wells,2010,Round 13,56
Samuel Wright,2010,Round 13,63
Gavin Urquhart,2010,Round 13,45
Hamish McIntosh,2010,Round 13,90
Ed Lower,2010,Round 13,62
Matt Campbell,2010,Round 13,63
Todd Goldstein,2010,Round 13,78
Ben Cunnington,2010,Round 13,21
Lindsay Thomas,2010,Round 13,42
Danyle Pearce,2010,Round 13,112
Kane Cornes,2010,Round 13,104
Travis Boak,2010,Round 13,71
Chad Cornes,2010,Round 13,78
Domenic Cassisi,2010,Round 13,79
Tom Logan,2010,Round 13,84
Jay Nash,2010,Round 13,68
Matt Thomas,2010,Round 13,84
Josh Carr,2010,Round 13,55
Alipate Carlile,2010,Round 13,78
Jason Davenport,2010,Round 13,60
David Rodan,2010,Round 13,69
Jacob Surjan,2010,Round 13,79
Paul Stewart,2010,Round 13,55
Mitchell Banner,2010,Round 13,55
Dean Brogan,2010,Round 13,78
Daniel Motlop,2010,Round 13,77
Jay Schulz,2010,Round 13,123
Danny Meyer,2010,Round 13,68
Daniel Stewart,2010,Round 13,42
Cameron Hitchcock,2010,Round 13,48
Jackson Trengove,2010,Round 13,33
Beau Waters,2010,Round 13,101
Bradd Dalziell,2010,Round 13,110
Andrew Embley,2010,Round 13,80
Bradley Sheppard,2010,Round 13,90
Scott Selwood,2010,Round 13,107
Will Schofield,2010,Round 13,93
Matthew Rosa,2010,Round 13,50
Matthew Priddis,2010,Round 13,72
Dean Cox,2010,Round 13,75
Brad Ebert,2010,Round 13,67
Patrick McGinnity,2010,Round 13,66
Quinten Lynch,2010,Round 13,67
Mitchell Brown,2010,Round 13,51
Beau Maister,2010,Round 13,63
Mark Lecras,2010,Round 13,75
Andrew Strijk,2010,Round 13,59
Eric MacKenzie,2010,Round 13,36
Nicholas Naitanui,2010,Round 13,52
Koby Stevens,2010,Round 13,46
Ben McKinley,2010,Round 13,50
Joshua Kennedy,2010,Round 13,51
Shannon Hurn,2010,Round 13,23
Lindsay Gilbee,2010,Round 13,119
Daniel Cross,2010,Round 13,116
Matthew Boyd,2010,Round 13,114
Jarrod Harbrow,2010,Round 13,109
Ryan Hargrave,2010,Round 13,98
Brian Lake,2010,Round 13,103
Daniel Giansiracusa,2010,Round 13,110
Robert Murphy,2010,Round 13,82
Adam Cooney,2010,Round 13,67
Ryan Griffen,2010,Round 13,95
Nathan Eagleton,2010,Round 13,83
Liam Picken,2010,Round 13,58
Barry Hall,2010,Round 13,69
Ben Hudson,2010,Round 13,65
Mitch Hahn,2010,Round 13,65
Dale Morris,2010,Round 13,56
Josh Hill,2010,Round 13,62
Easton Wood,2010,Round 13,49
Brad Johnson,2010,Round 13,66
Will Minson,2010,Round 13,70
Jarrad Grant,2010,Round 13,69
Brennan Stack,2010,Round 13,48
Leigh Montagna,2010,Round 13,128
Nick Dal Santo,2010,Round 13,134
Brendon Goddard,2010,Round 13,120
James Gwilt,2010,Round 13,98
Lenny Hayes,2010,Round 13,134
Sam Fisher,2010,Round 13,113
Farren Ray,2010,Round 13,99
Adam Schneider,2010,Round 13,97
Andrew McQualter,2010,Round 13,87
Sam Gilbert,2010,Round 13,100
Clinton Jones,2010,Round 13,77
Brett Peake,2010,Round 13,79
Michael S. Gardiner,2010,Round 13,83
Stephen Milne,2010,Round 13,75
Jason Blake,2010,Round 13,56
Jarryn Geary,2010,Round 13,53
Jack Steven,2010,Round 13,96
Justin Koschitzke,2010,Round 13,49
Sean Dempster,2010,Round 13,45
Steven Baker,2010,Round 13,38
Ben McEvoy,2010,Round 13,26
Rhys Stanley,2010,Round 13,26
Joel Selwood,2010,Round 13,120
Gary Ablett,2010,Round 13,114
Corey Enright,2010,Round 13,131
Darren Milburn,2010,Round 13,117
Cameron Ling,2010,Round 13,90
Andrew Mackie,2010,Round 13,89
Jimmy Bartel,2010,Round 13,94
Josh Hunt,2010,Round 13,74
Shannon Byrnes,2010,Round 13,61
Matthew Scarlett,2010,Round 13,61
David Wojcinski,2010,Round 13,51
Ryan Gamble,2010,Round 13,57
Steve Johnson,2010,Round 13,66
Mathew Stokes,2010,Round 13,65
Mark Blake,2010,Round 13,55
Travis Varcoe,2010,Round 13,35
Taylor Hunt,2010,Round 13,38
Tom Lonergan,2010,Round 13,38
Trent West,2010,Round 13,29
Cameron Mooney,2010,Round 13,43
James Podsiadly,2010,Round 13,31
Harry Taylor,2010,Round 13,36
Martin Mattner,2010,Round 13,123
Nick Malceski,2010,Round 13,78
Josh P. Kennedy,2010,Round 13,91
Jude Bolton,2010,Round 13,68
Jarrad McVeigh,2010,Round 13,90
Brett Kirk,2010,Round 13,79
Rhyce Shaw,2010,Round 13,84
Heath Grundy,2010,Round 13,66
Kieren Jack,2010,Round 13,87
Ryan O'Keefe,2010,Round 13,71
Ben McGlynn,2010,Round 13,83
Lewis R-Thomson,2010,Round 13,56
Paul Bevan,2010,Round 13,54
Craig Bird,2010,Round 13,68
Adam Goodes,2010,Round 13,48
Lewis Jetta,2010,Round 13,48
Shane Mumford,2010,Round 13,71
Daniel Hannebery,2010,Round 13,34
Gary Rohan,2010,Round 13,46
Jesse White,2010,Round 13,43
Nick Smith,2010,Round 13,39
Mike Pyke,2010,Round 13,29
Dane Swan,2010,Round 13,110
Heath Shaw,2010,Round 13,101
Alan Didak,2010,Round 13,89
Dale Thomas,2010,Round 13,100
Dayne Beams,2010,Round 13,63
Scott Pendlebury,2010,Round 13,79
Ben Johnson,2010,Round 13,60
Luke Ball,2010,Round 13,93
Sharrod Wellingham,2010,Round 13,63
Darren Jolly,2010,Round 13,123
Travis Cloke,2010,Round 13,64
Steele Sidebottom,2010,Round 13,82
Leigh Brown,2010,Round 13,89
Heritier Lumumba,2010,Round 13,80
Leon Davis,2010,Round 13,37
Alan Toovey,2010,Round 13,55
Ben Reid,2010,Round 13,46
Simon Prestigiacomo,2010,Round 13,38
Tarkyn Lockyer,2010,Round 13,70
Chris Dawes,2010,Round 13,71
Brad Dick,2010,Round 13,46
Tyson Goldsack,2010,Round 13,32
Simon Goodwin,2010,Round 13,133
Graham Johncock,2010,Round 13,118
Bernie Vince,2010,Round 13,90
Brad Symes,2010,Round 13,99
Michael Doughty,2010,Round 13,104
Scott Thompson,2010,Round 13,70
Richard Douglas,2010,Round 13,68
Rory Sloane,2010,Round 13,92
Scott Stevens,2010,Round 13,70
Nathan Van Berlo,2010,Round 13,78
Brent Reilly,2010,Round 13,64
Ben Rutten,2010,Round 13,77
Patrick Dangerfield,2010,Round 13,72
Tony Armstrong,2010,Round 13,52
Taylor Walker,2010,Round 13,74
Ricky Henderson,2010,Round 13,60
Kurt Tippett,2010,Round 13,74
Phil Davis,2010,Round 13,59
Matthew Jaensch,2010,Round 13,86
Jonathon Griffin,2010,Round 13,62
Ivan Maric,2010,Round 13,44
David MacKay,2010,Round 13,12
Jack Grimes,2010,Round 13,103
Tom Scully,2010,Round 13,106
Cameron Bruce,2010,Round 13,101
Brad Green,2010,Round 13,104
Jack Trengove,2010,Round 13,92
Colin Garland,2010,Round 13,81
Joel Macdonald,2010,Round 13,67
Matthew Bate,2010,Round 13,99
Nathan Jones,2010,Round 13,57
Cale Morton,2010,Round 13,67
Brent Moloney,2010,Round 13,67
James Frawley,2010,Round 13,87
Lynden Dunn,2010,Round 13,82
Clint Bartram,2010,Round 13,57
Aaron Davey,2010,Round 13,53
Jack Watts,2010,Round 13,48
Jared Rivers,2010,Round 13,57
Jordie McKenzie,2010,Round 13,51
Mark Jamar,2010,Round 13,57
Brad Miller,2010,Round 13,37
Neville Jetta,2010,Round 13,33
Matthew Warnock,2010,Round 13,38
Chris Judd,2010,Round 14,99
Marc Murphy,2010,Round 14,69
Bryce Gibbs,2010,Round 14,102
Heath Scotland,2010,Round 14,100
Andrew Walker,2010,Round 14,78
Kade Simpson,2010,Round 14,108
Andrew Carrazzo,2010,Round 14,80
Aaron Joseph,2010,Round 14,64
Christopher Yarran,2010,Round 14,78
Ryan Houlihan,2010,Round 14,85
Dennis Armfield,2010,Round 14,63
Lachlan Henderson,2010,Round 14,80
Jordan Russell,2010,Round 14,62
Sam Jacobs,2010,Round 14,86
Setanta O'hAilpin,2010,Round 14,67
Michael Jamison,2010,Round 14,57
Mitch Robinson,2010,Round 14,51
Bret Thornton,2010,Round 14,38
Shaun Grigg,2010,Round 14,52
Eddie Betts,2010,Round 14,103
Jeff Garlett,2010,Round 14,78
Shaun Hampson,2010,Round 14,27
Simon Black,2010,Round 14,117
Michael Rischitelli,2010,Round 14,109
Tom Rockliff,2010,Round 14,99
Travis Johnstone,2010,Round 14,85
Brent Staker,2010,Round 14,89
Matthew Leuenberger,2010,Round 14,121
Justin Sherman,2010,Round 14,72
Amon Buchanan,2010,Round 14,60
Luke Power,2010,Round 14,47
James Polkinghorne,2010,Round 14,52
Jared Brennan,2010,Round 14,57
Ashley McGrath,2010,Round 14,45
Mitchell Clark,2010,Round 14,57
Jack Redden,2010,Round 14,95
Aaron Cornelius,2010,Round 14,63
Daniel Merrett,2010,Round 14,48
Daniel Rich,2010,Round 14,43
Todd Banfield,2010,Round 14,50
Jesse O'Brien,2010,Round 14,35
Joel Patfull,2010,Round 14,39
Sam Sheldon,2010,Round 14,23
Tom Collier,2010,Round 14,25
Sam Mitchell,2010,Round 14,128
Luke Hodge,2010,Round 14,119
Grant Birchall,2010,Round 14,88
Cyril Rioli,2010,Round 14,113
Shaun Burgoyne,2010,Round 14,87
Benjamin Stratton,2010,Round 14,87
Jarryd Roughead,2010,Round 14,100
Chance Bateman,2010,Round 14,56
Brad Sewell,2010,Round 14,63
Lance Franklin,2010,Round 14,96
Brent Guerra,2010,Round 14,67
Xavier Ellis,2010,Round 14,76
Jordan Lewis,2010,Round 14,62
Clinton Young,2010,Round 14,62
Thomas Murphy,2010,Round 14,59
Ryan Schoenmakers,2010,Round 14,40
Wayde Skipper,2010,Round 14,71
Michael Osborne,2010,Round 14,34
Stephen Gilham,2010,Round 14,35
Carl Peterson,2010,Round 14,59
Brent Renouf,2010,Round 14,49
Beau Muston,2010,Round 14,27
Matthew Boyd,2010,Round 14,121
Brian Lake,2010,Round 14,137
Daniel Cross,2010,Round 14,110
Adam Cooney,2010,Round 14,63
Brad Johnson,2010,Round 14,87
Lindsay Gilbee,2010,Round 14,72
Robert Murphy,2010,Round 14,71
Shaun Higgins,2010,Round 14,78
Jarrod Harbrow,2010,Round 14,66
Ryan Griffen,2010,Round 14,82
Liam Picken,2010,Round 14,90
Ben Hudson,2010,Round 14,58
Easton Wood,2010,Round 14,49
Ryan Hargrave,2010,Round 14,54
Callan Ward,2010,Round 14,62
Samuel Reid,2010,Round 14,62
Dale Morris,2010,Round 14,43
Daniel Giansiracusa,2010,Round 14,71
Will Minson,2010,Round 14,47
Jarrad Grant,2010,Round 14,67
Mitch Hahn,2010,Round 14,43
Barry Hall,2010,Round 14,43
Rhys Palmer,2010,Round 14,112
Michael Johnson,2010,Round 14,100
Michael Barlow,2010,Round 14,111
Paul Duffield,2010,Round 14,108
Garrick Ibbotson,2010,Round 14,74
Matthew De Boer,2010,Round 14,78
Dylan Roberton,2010,Round 14,93
Roger Hayden,2010,Round 14,66
Aaron Sandilands,2010,Round 14,104
Hayden Ballantyne,2010,Round 14,64
Paul Hasleby,2010,Round 14,82
Anthony Morabito,2010,Round 14,83
Matthew Pavlich,2010,Round 14,56
David Mundy,2010,Round 14,83
Adam McPhee,2010,Round 14,47
Ryan Crowley,2010,Round 14,93
Stephen Hill,2010,Round 14,73
Kepler Bradley,2010,Round 14,52
Jay Van Berlo,2010,Round 14,45
Nathan Fyfe,2010,Round 14,33
Alex Silvagni,2010,Round 14,42
Antoni Grover,2010,Round 14,41
Tom Logan,2010,Round 14,97
Domenic Cassisi,2010,Round 14,78
Mitchell Banner,2010,Round 14,104
Kane Cornes,2010,Round 14,65
David Rodan,2010,Round 14,77
Alipate Carlile,2010,Round 14,82
Steven Salopek,2010,Round 14,71
Chad Cornes,2010,Round 14,68
Paul Stewart,2010,Round 14,81
Matthew Broadbent,2010,Round 14,95
Danyle Pearce,2010,Round 14,58
Matt Thomas,2010,Round 14,74
Nick Salter,2010,Round 14,63
Justin Westhoff,2010,Round 14,55
Troy Chaplin,2010,Round 14,39
Jackson Trengove,2010,Round 14,64
Dean Brogan,2010,Round 14,64
Jay Schulz,2010,Round 14,60
Cameron Hitchcock,2010,Round 14,56
Brett Ebert,2010,Round 14,47
Daniel Motlop,2010,Round 14,33
Daniel Stewart,2010,Round 14,47
Scott Thompson,2010,Round 14,146
Nathan Van Berlo,2010,Round 14,100
Richard Douglas,2010,Round 14,99
Simon Goodwin,2010,Round 14,85
Brent Reilly,2010,Round 14,72
Brad Symes,2010,Round 14,90
Jason Porplyzia,2010,Round 14,99
Kurt Tippett,2010,Round 14,107
Ben Rutten,2010,Round 14,65
Graham Johncock,2010,Round 14,58
Bernie Vince,2010,Round 14,46
Tony Armstrong,2010,Round 14,59
Rory Sloane,2010,Round 14,65
Ivan Maric,2010,Round 14,70
Scott Stevens,2010,Round 14,55
Taylor Walker,2010,Round 14,64
Ricky Henderson,2010,Round 14,72
Patrick Dangerfield,2010,Round 14,81
Michael Doughty,2010,Round 14,47
Jonathon Griffin,2010,Round 14,33
Phil Davis,2010,Round 14,44
Matthew Jaensch,2010,Round 14,26
Brent Stanton,2010,Round 14,79
Jason Winderlich,2010,Round 14,94
Jobe Watson,2010,Round 14,64
Brent Prismall,2010,Round 14,84
David Zaharakis,2010,Round 14,92
Andrew Welsh,2010,Round 14,107
Heath Hocking,2010,Round 14,84
Nathan L-Murray,2010,Round 14,68
Jake Melksham,2010,Round 14,60
Mark McVeigh,2010,Round 14,68
Michael Hurley,2010,Round 14,47
Cale Hooker,2010,Round 14,51
Leroy Jetta,2010,Round 14,56
Kyle Reimers,2010,Round 14,54
Tyson Slattery,2010,Round 14,57
Alwyn Davey,2010,Round 14,60
Patrick Ryder,2010,Round 14,97
Sam Lonergan,2010,Round 14,49
Scott Gumbleton,2010,Round 14,42
Tom Bellchambers,2010,Round 14,47
Michael Quinn,2010,Round 14,24
Henry Slattery,2010,Round 14,42
Dane Swan,2010,Round 14,161
Dayne Beams,2010,Round 14,119
Alan Didak,2010,Round 14,103
Scott Pendlebury,2010,Round 14,124
Heath Shaw,2010,Round 14,93
Dale Thomas,2010,Round 14,91
Ben Johnson,2010,Round 14,85
Darren Jolly,2010,Round 14,136
Tarkyn Lockyer,2010,Round 14,105
Sharrod Wellingham,2010,Round 14,63
Luke Ball,2010,Round 14,79
Ben Reid,2010,Round 14,77
Leon Davis,2010,Round 14,83
Travis Cloke,2010,Round 14,93
John Anthony,2010,Round 14,71
Alan Toovey,2010,Round 14,73
Heritier Lumumba,2010,Round 14,71
Jarryd Blair,2010,Round 14,67
Chris Dawes,2010,Round 14,79
Leigh Brown,2010,Round 14,31
Tyson Goldsack,2010,Round 14,40
Simon Prestigiacomo,2010,Round 14,27
Matthew Priddis,2010,Round 14,110
Adam Selwood,2010,Round 14,100
Bradley Sheppard,2010,Round 14,80
Bradd Dalziell,2010,Round 14,79
Andrew Embley,2010,Round 14,59
Beau Waters,2010,Round 14,52
Matthew Rosa,2010,Round 14,71
Scott Selwood,2010,Round 14,84
Tom Swift,2010,Round 14,56
Chris Masten,2010,Round 14,47
Quinten Lynch,2010,Round 14,61
Brad Ebert,2010,Round 14,65
Nicholas Naitanui,2010,Round 14,59
Andrew Strijk,2010,Round 14,65
Dean Cox,2010,Round 14,71
Beau Maister,2010,Round 14,36
Will Schofield,2010,Round 14,44
Patrick McGinnity,2010,Round 14,38
Joshua Kennedy,2010,Round 14,68
Mark Lecras,2010,Round 14,59
Ben McKinley,2010,Round 14,47
Eric MacKenzie,2010,Round 14,35
Paul Chapman,2010,Round 14,130
Gary Ablett,2010,Round 14,108
James Kelly,2010,Round 14,101
Andrew Mackie,2010,Round 14,126
Joel Selwood,2010,Round 14,109
Corey Enright,2010,Round 14,108
Mathew Stokes,2010,Round 14,106
Joel Corey,2010,Round 14,119
Matthew Scarlett,2010,Round 14,85
Taylor Hunt,2010,Round 14,70
Jimmy Bartel,2010,Round 14,94
Simon Hogan,2010,Round 14,81
Darren Milburn,2010,Round 14,73
Shannon Byrnes,2010,Round 14,84
David Wojcinski,2010,Round 14,63
Josh Hunt,2010,Round 14,71
James Podsiadly,2010,Round 14,120
Travis Varcoe,2010,Round 14,53
Mark Blake,2010,Round 14,58
Tom Lonergan,2010,Round 14,77
Mitchell Duncan,2010,Round 14,56
Trent West,2010,Round 14,58
Brady Rawlings,2010,Round 14,112
Daniel Wells,2010,Round 14,100
Brent Harvey,2010,Round 14,79
Todd Goldstein,2010,Round 14,106
Ryan Bastinac,2010,Round 14,52
Michael Firrito,2010,Round 14,49
Leigh Adams,2010,Round 14,54
Cruize Garlett,2010,Round 14,78
Daniel Pratt,2010,Round 14,59
Levi Greenwood,2010,Round 14,58
Scott McMahon,2010,Round 14,68
Andrew Swallow,2010,Round 14,69
Ed Lower,2010,Round 14,55
Scott Thompson,2010,Round 14,55
Ben Cunnington,2010,Round 14,66
Samuel Wright,2010,Round 14,55
Hamish McIntosh,2010,Round 14,63
Lachlan Hansen,2010,Round 14,81
Lindsay Thomas,2010,Round 14,23
Ben Warren,2010,Round 14,34
Matt Campbell,2010,Round 14,43
Jack Ziebell,2010,Round 14,8
Brett Deledio,2010,Round 14,95
Daniel Connors,2010,Round 14,116
Ben Cousins,2010,Round 14,60
David Astbury,2010,Round 14,69
Chris Newman,2010,Round 14,101
Daniel Jackson,2010,Round 14,112
Kelvin Moore,2010,Round 14,86
Shane Tuck,2010,Round 14,85
Will Thursfield,2010,Round 14,93
Dustin Martin,2010,Round 14,96
Shane Edwards,2010,Round 14,54
Trent Cotchin,2010,Round 14,70
Mitch Farmer,2010,Round 14,55
Richard Tambling,2010,Round 14,50
Jack Riewoldt,2010,Round 14,92
Andrew Collins,2010,Round 14,82
Ben Nason,2010,Round 14,52
Angus Graham,2010,Round 14,65
Matthew White,2010,Round 14,39
Jake King,2010,Round 14,50
Tyrone Vickery,2010,Round 14,32
Benjamin Griffiths,2010,Round 14,42
Jude Bolton,2010,Round 14,130
Ryan O'Keefe,2010,Round 14,125
Daniel Hannebery,2010,Round 14,98
Rhyce Shaw,2010,Round 14,101
Jarrad McVeigh,2010,Round 14,90
Kieren Jack,2010,Round 14,70
Craig Bird,2010,Round 14,61
Nick Malceski,2010,Round 14,76
Nick Smith,2010,Round 14,69
Martin Mattner,2010,Round 14,69
Adam Goodes,2010,Round 14,95
Ben McGlynn,2010,Round 14,89
Josh P. Kennedy,2010,Round 14,52
Brett Kirk,2010,Round 14,51
Tadhg Kennelly,2010,Round 14,32
Lewis R-Thomson,2010,Round 14,63
Shane Mumford,2010,Round 14,92
Jarred Moore,2010,Round 14,60
Heath Grundy,2010,Round 14,55
Trent D-Lane,2010,Round 14,44
Henry Playfair,2010,Round 14,29
Mike Pyke,2010,Round 14,61
Leigh Montagna,2010,Round 14,135
Brendon Goddard,2010,Round 14,122
Clinton Jones,2010,Round 14,128
Lenny Hayes,2010,Round 14,105
Adam Schneider,2010,Round 14,121
Sam Gilbert,2010,Round 14,113
Nick Dal Santo,2010,Round 14,92
Farren Ray,2010,Round 14,86
Sam Fisher,2010,Round 14,95
James Gwilt,2010,Round 14,55
Jack Steven,2010,Round 14,89
Sean Dempster,2010,Round 14,85
Brett Peake,2010,Round 14,71
Stephen Milne,2010,Round 14,68
Jason Blake,2010,Round 14,63
Jarryn Geary,2010,Round 14,68
Michael S. Gardiner,2010,Round 14,66
Zac Dawson,2010,Round 14,66
Ben McEvoy,2010,Round 14,82
Adam Pattison,2010,Round 14,57
Rhys Stanley,2010,Round 14,38
Andrew McQualter,2010,Round 14,45
Brad Green,2010,Round 14,128
Joel Macdonald,2010,Round 14,86
Jordie McKenzie,2010,Round 14,85
Jack Trengove,2010,Round 14,113
Brent Moloney,2010,Round 14,84
Cameron Bruce,2010,Round 14,79
Jack Watts,2010,Round 14,87
Mark Jamar,2010,Round 14,64
Lynden Dunn,2010,Round 14,79
Aaron Davey,2010,Round 14,65
James Frawley,2010,Round 14,50
Tom Scully,2010,Round 14,47
Nathan Jones,2010,Round 14,41
Kyle Cheney,2010,Round 14,70
Clint Bartram,2010,Round 14,46
Colin Garland,2010,Round 14,49
Jack Grimes,2010,Round 14,47
Neville Jetta,2010,Round 14,44
Jared Rivers,2010,Round 14,47
Matthew Bate,2010,Round 14,48
Jamie Bennell,2010,Round 14,58
Jake Spencer,2010,Round 14,51
Kane Cornes,2010,Round 15,89
David Rodan,2010,Round 15,117
Tom Logan,2010,Round 15,93
Mitchell Banner,2010,Round 15,78
Steven Salopek,2010,Round 15,82
Domenic Cassisi,2010,Round 15,82
Troy Chaplin,2010,Round 15,93
Nick Salter,2010,Round 15,76
Danyle Pearce,2010,Round 15,56
Travis Boak,2010,Round 15,91
Paul Stewart,2010,Round 15,59
Dean Brogan,2010,Round 15,79
Alipate Carlile,2010,Round 15,56
Brett Ebert,2010,Round 15,97
Justin Westhoff,2010,Round 15,62
Matthew Broadbent,2010,Round 15,53
Jackson Trengove,2010,Round 15,67
Josh Carr,2010,Round 15,59
Cameron Hitchcock,2010,Round 15,49
Daniel Motlop,2010,Round 15,59
Matt Thomas,2010,Round 15,36
Daniel Stewart,2010,Round 15,40
Dane Swan,2010,Round 15,141
Scott Pendlebury,2010,Round 15,92
Dayne Beams,2010,Round 15,86
Luke Ball,2010,Round 15,70
Alan Didak,2010,Round 15,82
Heath Shaw,2010,Round 15,70
Sharrod Wellingham,2010,Round 15,60
Dale Thomas,2010,Round 15,83
Tyson Goldsack,2010,Round 15,56
Tarkyn Lockyer,2010,Round 15,72
Heritier Lumumba,2010,Round 15,51
Jarryd Blair,2010,Round 15,74
Ben Reid,2010,Round 15,49
Ben Johnson,2010,Round 15,54
Darren Jolly,2010,Round 15,94
Travis Cloke,2010,Round 15,59
John Anthony,2010,Round 15,35
Chris Dawes,2010,Round 15,72
Leigh Brown,2010,Round 15,67
Alan Toovey,2010,Round 15,35
Steele Sidebottom,2010,Round 15,36
Simon Prestigiacomo,2010,Round 15,25
Adam Selwood,2010,Round 15,116
Matthew Rosa,2010,Round 15,120
Dean Cox,2010,Round 15,104
Andrew Embley,2010,Round 15,124
Quinten Lynch,2010,Round 15,85
Chris Masten,2010,Round 15,64
Beau Waters,2010,Round 15,79
Scott Selwood,2010,Round 15,91
Brad Ebert,2010,Round 15,102
Ashley Smith,2010,Round 15,79
Brett Jones,2010,Round 15,70
Mark Lecras,2010,Round 15,86
Eric MacKenzie,2010,Round 15,89
Matthew Priddis,2010,Round 15,52
Lewis Stevenson,2010,Round 15,68
Mitchell Brown,2010,Round 15,63
Bradley Sheppard,2010,Round 15,56
Andrew Strijk,2010,Round 15,42
Ashton Hams,2010,Round 15,64
Will Schofield,2010,Round 15,51
Joshua Kennedy,2010,Round 15,50
Nicholas Naitanui,2010,Round 15,43
Scott Thompson,2010,Round 15,93
Simon Goodwin,2010,Round 15,119
Bernie Vince,2010,Round 15,94
Michael Doughty,2010,Round 15,84
Richard Douglas,2010,Round 15,101
Patrick Dangerfield,2010,Round 15,81
Ricky Henderson,2010,Round 15,119
Brent Reilly,2010,Round 15,83
Rory Sloane,2010,Round 15,64
Scott Stevens,2010,Round 15,92
Jason Porplyzia,2010,Round 15,82
Brad Symes,2010,Round 15,87
Taylor Walker,2010,Round 15,69
Graham Johncock,2010,Round 15,72
Ben Rutten,2010,Round 15,47
Nathan Van Berlo,2010,Round 15,59
Kurt Tippett,2010,Round 15,98
Jonathon Griffin,2010,Round 15,63
Tony Armstrong,2010,Round 15,33
Phil Davis,2010,Round 15,44
Matthew Jaensch,2010,Round 15,64
Ivan Maric,2010,Round 15,31
Gary Ablett,2010,Round 15,109
Joel Selwood,2010,Round 15,104
Jimmy Bartel,2010,Round 15,139
Paul Chapman,2010,Round 15,117
James Kelly,2010,Round 15,86
Andrew Mackie,2010,Round 15,98
Mathew Stokes,2010,Round 15,101
Darren Milburn,2010,Round 15,62
Harry Taylor,2010,Round 15,70
Cameron Ling,2010,Round 15,79
David Wojcinski,2010,Round 15,52
Travis Varcoe,2010,Round 15,75
Corey Enright,2010,Round 15,42
Mark Blake,2010,Round 15,52
Simon Hogan,2010,Round 15,31
Matthew Scarlett,2010,Round 15,35
Brad Ottens,2010,Round 15,57
Josh Hunt,2010,Round 15,56
